"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2020-09-05T20:19:24.146+12:00[Pacific/Auckland]","0.0","9.59"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2020-09-05T20:19:34.561+12:00[Pacific/Auckland]","0.0","6.9"
